area,id,locacao,price,venda
41,30465,,115000,
106,30464,2500,,750000
108,30463,2800,,750000
55,30462,,650,
47,30461,,1200,
47,30460,,700,
85,30459,,385000,
371,30458,,850000,
12,30457,,550,
45,30456,,1000,
484000,30454,,1600000,
360,30453,,340000,
96,30452,,320000,
773,30451,,450000,
91,30450,,800,
420,30449,,230000,
135,30448,,1700,
110,30447,,180000,
36,30446,,210000,
192,30445,,2500,
300,30444,,2500,
290,30443,,890000,
170,30442,,480000,
115,30441,1000,,300000
157,30440,,290000,
240,30439,,1200000,
41,30438,,180000,
173,30437,,850000,
101,30436,,280000,
35,30435,,300000,
304,30434,,750000,
110,30433,,230000,
76,30432,,140000,
849,30431,,1090000,
30,30430,,650,
32,30429,,140000,
186,30428,,1100000,
32,30427,,140000,
348,30426,,220000,
222,30425,,2700,
43,30424,,600,
123,30423,1200,,280000
119,30422,,600000,
403,30421,4300,,850000
139,30420,,340000,
618,30419,10000,,3000000
82,30418,,160000,
53,30417,,158000,
89,30416,,230000,
153,30415,,660000,
534,30413,,7500,
50,30412,,220000,
134,30411,,510000,
39,30410,,650,
254,30409,,210000,
250,30408,,210000,
220,30407,,3000,
75,30406,1500,,419000
250,30405,,450000,
400,30404,,1650000,
135,30403,,440000,
197,30402,1500,,280000
106,30401,,530000,
27,30400,,150000,
100,30399,,1800,
460,30398,,15000,
87,30397,,2200,
42,30396,700,,160000
60,30395,,180000,
40,30394,,200000,
150,30393,,650000,
299,30392,,640000,
43,30391,,1500,
43,30390,,1500,
43,30389,,1500,
81,30388,,2300,
81,30387,,2300,
61,30386,,1800,
61,30385,,1800,
61,30384,,1800,
46,30383,,2500,
46,30382,,2500,
171,30381,1500,,450000
81,30380,,430000,
46,30379,1400,,200000
149,30378,,690000,
37,30377,2500,,230000
128,30376,,850000,
483,30375,,320000,
46,30374,,159000,
52,30372,,112000,
38,30371,,200000,
54,30370,,250000,
626,30369,,340000,
1000,30368,,40000,
3200,30367,,45000,
519,30366,,351000,
483,30365,,290000,
122,30364,,420000,
101,30363,,595000,
56,30362,,278000,
634,30361,,300000,
5200,30360,,80000,
108,30359,,670000,
46,30357,,155000,
53,30356,,2200,
63,30355,,850,
175,30354,,372000,
128,30353,,1800,
190,30352,2200,,650000
237,30351,,650000,
160,30350,,270000,
63,30349,,800,
105,30348,,450000,
59,30347,,198000,
37,30346,,1650,
156,30345,,850000,
263,30344,,120000,
158,30343,,370000,
390,30342,,1590000,
81,30341,,2100,
131,30340,,780000,
100,30338,,2700,
70,30337,,900,
193,30336,3400,,600000
77,30335,,452000,
80,30334,,240000,
400,30332,3500,,750000
36,30330,,180000,
222,30329,,950000,
47,30328,,115000,
300,30327,,600000,
640,30326,,7000,
310,30325,,1260000,
360,30324,,175000,
158,30323,,450000,
211,30322,,650000,
65,30321,,200000,
150,30319,,1500,
175,30318,,520000,
56,30317,,255000,
82,30316,,276000,
2520,30315,,1250000,
160,30313,,100000,
970,30312,,1300000,
250,30311,,1250000,
175,30310,,850000,
420,30309,,2150000,
490,30308,,300000,
95,30307,,500000,
325,30306,,1200000,
